date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-12-12,sh.601601,30.4100,30.5500,30.7300,30.1800,15645644,475810251.0000,0.248869,1.936027,1.528744
2018-12-13,sh.601601,30.7000,30.9800,31.2500,30.5500,19830869,614169174.0000,0.315442,1.963277,1.407530
2018-12-14,sh.601601,30.7800,30.4000,30.9300,30.3500,19203917,586356428.0000,0.305469,1.926521,-1.872175
2018-12-17,sh.601601,30.3000,30.7000,30.8300,30.3000,11568335,354174013.0000,0.184013,1.945533,0.986846
2018-12-18,sh.601601,30.4000,30.1800,30.7000,29.9100,13663334,414105257.0000,0.217337,1.912579,-1.693813
2018-12-19,sh.601601,30.1900,30.1600,30.7700,30.0000,16170665,492057961.0000,0.257220,1.911312,-0.066271
2018-12-20,sh.601601,29.9900,29.6400,30.2700,29.3900,14142941,419952765.0000,0.224966,1.878358,-1.724139
2018-12-21,sh.601601,29.4200,29.0600,29.5700,28.7800,13420521,389940613.0000,0.213475,1.841602,-1.956815
2018-12-24,sh.601601,28.7800,28.9800,29.1400,28.7200,9788304,283533574.0000,0.155699,1.836532,-0.275292
2018-12-25,sh.601601,28.8000,28.7800,29.0500,27.9000,17045160,484847027.0000,0.271130,1.823858,-0.690127
2018-12-26,sh.601601,28.6500,28.2500,28.7900,28.1600,14158430,402399220.0000,0.225212,1.790270,-1.841559
2018-12-27,sh.601601,28.6200,28.2500,28.8000,28.2500,15644301,446233245.0000,0.248848,1.790270,0.000000
2018-12-28,sh.601601,28.4200,28.4300,28.8500,28.2900,14832637,422742324.0000,0.235937,1.801677,0.637169
2019-01-02,sh.601601,28.4500,27.4000,28.5400,27.0500,23981464,661114291.0000,0.381463,1.736404,-3.622936
2019-01-03,sh.601601,27.3600,27.9300,28.2500,27.3000,19931204,555746013.0000,0.317038,1.769991,1.934309
2019-01-04,sh.601601,27.6200,28.9800,29.0500,27.6000,24060076,687207862.0000,0.382714,1.836532,3.759396
2019-01-07,sh.601601,29.1800,28.3600,29.1800,28.1000,24400885,693654373.0000,0.388135,1.797241,-2.139403
2019-01-08,sh.601601,28.4400,27.9200,28.4400,27.8400,15800330,442753744.0000,0.251329,1.769357,-1.551483
2019-01-09,sh.601601,28.1500,28.4700,28.7200,27.9000,24793106,706146389.0000,0.394374,1.804212,1.969911
2019-01-10,sh.601601,28.3000,27.9800,28.3600,27.9400,18347136,515621966.0000,0.291840,1.773160,-1.721109
2019-01-11,sh.601601,28.1000,27.8800,28.3400,27.7500,19063267,532535626.0000,0.303232,1.766823,-0.357399
2019-01-14,sh.601601,27.8000,27.3300,27.8900,27.2200,20057977,551103490.0000,0.319054,1.731968,-1.972738
2019-01-15,sh.601601,27.4800,28.4300,28.5400,27.3500,31196380,873042234.0000,0.496228,1.801677,4.024883
2019-01-16,sh.601601,28.5000,28.8000,28.9300,28.2400,23460378,672829573.0000,0.373175,1.825125,1.301438
2019-01-17,sh.601601,28.9500,28.8700,29.6000,28.6200,26808446,780924578.0000,0.426431,1.829561,0.243061
2019-01-18,sh.601601,29.2800,29.8300,29.9000,29.1100,27631726,818437047.0000,0.439527,1.890399,3.325248
2019-01-21,sh.601601,29.8200,30.0000,30.1900,29.6700,16409491,491347437.0000,0.261019,1.901172,0.569896
2019-01-22,sh.601601,29.9500,29.4400,29.9900,29.2800,12707259,375349802.0000,0.202129,1.865684,-1.866665
2019-01-23,sh.601601,29.3900,29.6000,29.9700,29.3100,13980207,414513112.0000,0.222378,1.875823,0.543478
2019-01-24,sh.601601,29.7600,29.9200,29.9900,29.2400,13355585,396796159.0000,0.212442,1.896102,1.081080
2019-01-25,sh.601601,29.9600,30.1900,30.6500,29.9400,18418687,559448908.0000,0.292979,1.913213,0.902408
2019-01-28,sh.601601,30.4200,30.1000,30.6500,29.8000,10359543,313333894.0000,0.164785,1.907509,-0.298113
2019-01-29,sh.601601,29.8000,30.3200,30.4600,29.5000,13988665,418849635.0000,0.222512,1.921451,0.730895
2019-01-30,sh.601601,29.8100,29.8000,30.1500,29.6600,11328223,338987971.0000,0.180193,1.888498,-1.715041
2019-01-31,sh.601601,30.1100,30.8200,30.9400,29.9500,17728058,542944470.0000,0.281993,1.953137,3.422821
2019-02-01,sh.601601,31.0100,30.8800,31.1500,30.6200,9865684,304654785.0000,0.156929,1.956940,0.194677
2019-02-11,sh.601601,30.3500,30.9000,31.0100,30.2800,14951527,457705186.0000,0.237828,1.958207,0.064768
2019-02-12,sh.601601,30.8400,31.3000,31.4100,30.6300,14542134,451661114.0000,0.231316,1.983556,1.294497
2019-02-13,sh.601601,31.3500,32.2000,32.4000,31.0700,22144275,704018748.0000,0.352240,2.040591,2.875404
2019-02-14,sh.601601,32.0200,31.7100,32.2000,31.5300,13347859,424548326.0000,0.212319,2.009539,-1.521744
2019-02-15,sh.601601,31.5000,30.7000,31.8100,30.7000,16871188,525231426.0000,0.268363,1.945533,-3.185110
2019-02-18,sh.601601,30.9900,31.7300,31.8000,30.8800,19578104,616236306.0000,0.311421,2.010806,3.355045
2019-02-19,sh.601601,31.7500,32.2100,33.2500,31.5000,32284021,1049406122.0000,0.513529,2.041225,1.512763
2019-02-20,sh.601601,32.5900,33.0900,33.1800,32.3100,31297941,1029739871.0000,0.497844,2.096993,2.732074
2019-02-21,sh.601601,33.0400,32.8000,33.5800,32.6000,17697389,584247445.0000,0.281505,2.078615,-0.876400
2019-02-22,sh.601601,32.8000,33.4500,33.6500,31.9400,25618168,838165100.0000,0.407498,2.119807,1.981712
2019-02-25,sh.601601,34.2100,36.8000,36.8000,34.2100,58780304,2099882507.0000,0.934995,2.332104,10.014940
2019-02-26,sh.601601,36.8000,35.4700,37.5000,35.1900,43626457,1583188120.0000,0.693948,2.247819,-3.614125
2019-02-27,sh.601601,35.4000,34.8500,35.9800,34.1800,41018248,1442407414.0000,0.652461,2.208528,-1.747964
2019-02-28,sh.601601,34.8000,34.0200,34.8000,33.6600,30370662,1037849391.0000,0.483094,2.155929,-2.381630
2019-03-01,sh.601601,34.2500,35.3000,35.5000,34.0900,35942674,1247037024.0000,0.571726,2.237046,3.762489
2019-03-04,sh.601601,35.6100,35.0800,36.9400,34.7300,57203733,2037556229.0000,0.909917,2.223104,-0.623222
2019-03-05,sh.601601,34.9200,34.6200,34.9500,34.0700,34933061,1202179023.0000,0.555666,2.193953,-1.311297
2019-03-06,sh.601601,34.5800,34.9400,35.1900,34.0000,44847697,1546196669.0000,0.713374,2.214232,0.924320
2019-03-07,sh.601601,34.9100,34.0100,34.9100,33.8100,38220515,1306796939.0000,0.607958,2.155295,-2.661707
2019-03-08,sh.601601,33.0200,32.6600,33.3500,32.5000,42164871,1390817297.0000,0.670700,2.069743,-3.969416
2019-03-11,sh.601601,32.7000,32.7900,32.9400,32.2300,31850754,1036094180.0000,0.506637,2.077981,0.398044
2019-03-12,sh.601601,33.1000,32.6300,33.3900,32.4900,35243599,1163436244.0000,0.560606,2.067841,-0.487953
2019-03-13,sh.601601,32.9600,32.7700,33.0700,32.1500,31893672,1041702852.0000,0.507320,2.076714,0.429051
2019-03-14,sh.601601,32.6000,32.6100,33.2500,32.3700,25486276,837071564.0000,0.405400,2.066574,-0.488251
2019-03-15,sh.601601,32.8000,32.8900,33.4800,32.7500,28935112,958637329.0000,0.460259,2.084318,0.858629
2019-03-18,sh.601601,32.8900,33.4500,33.4600,32.3200,41976855,1380784653.0000,0.667709,2.119807,1.702649
2019-03-19,sh.601601,33.4500,33.0600,33.8100,32.9000,34985190,1164698055.0000,0.556495,2.095092,-1.165917
2019-03-20,sh.601601,33.0000,32.6600,33.1900,32.4000,31933747,1044981841.0000,0.507957,2.069743,-1.209926
2019-03-21,sh.601601,32.7200,33.1000,33.4400,32.4000,51978762,1719249498.0000,0.826805,2.097627,1.347209
2019-03-22,sh.601601,33.3300,33.1400,33.4800,32.9100,31468418,1044042600.0000,0.500555,2.100161,0.120849
2019-03-25,sh.601601,33.6000,32.9100,33.8100,32.8500,60402769,2015972127.0000,0.960802,1.993839,-0.694024
2019-03-26,sh.601601,33.2500,33.3200,33.4100,32.8000,27987941,928476375.0000,0.445193,2.018678,1.245821
2019-03-27,sh.601601,33.5400,33.4500,33.9900,33.3000,40438168,1360510036.0000,0.643234,2.026554,0.390159
2019-03-28,sh.601601,33.2100,32.7400,33.2100,32.4500,25896360,848443805.0000,0.411923,1.983539,-2.122568
2019-03-29,sh.601601,32.8000,34.0400,34.0700,32.7800,55311740,1864313987.0000,0.879822,2.062299,3.970675
2019-04-01,sh.601601,34.3000,34.7900,35.2000,34.2800,55845691,1943040709.0000,0.888315,2.107738,2.203290
2019-04-02,sh.601601,34.8200,34.8200,35.2300,34.5800,35958409,1254475504.0000,0.571976,2.109555,0.086228
2019-04-03,sh.601601,34.7600,35.2700,35.3200,34.5000,30364867,1061028448.0000,0.483002,2.136818,1.292363
2019-04-04,sh.601601,35.5000,35.6200,36.0700,35.1100,38597228,1375981209.0000,0.613951,2.158023,0.992340
2019-04-08,sh.601601,35.8700,36.0000,36.7600,35.7000,50223273,1822370463.0000,0.798881,2.181045,1.066819
2019-04-09,sh.601601,35.8000,35.4200,36.2100,35.3200,26905821,962489887.0000,0.427980,2.145906,-1.611116
2019-04-10,sh.601601,35.4000,35.1100,35.5900,34.6600,33627505,1175994181.0000,0.534899,2.127125,-0.875205
2019-04-11,sh.601601,35.2300,34.8500,35.8000,34.5800,29835436,1046591343.0000,0.474580,2.111373,-0.740536
2019-04-12,sh.601601,34.9000,34.9900,35.1700,34.6000,18332948,640070212.0000,0.291615,2.119855,0.401731
2019-04-15,sh.601601,35.7100,35.9400,37.2800,35.6000,57689272,2104900294.0000,0.917640,2.177410,2.715053
2019-04-16,sh.601601,35.7100,37.5500,37.6500,35.6200,54066777,1988575384.0000,0.860018,2.274951,4.479690
2019-04-17,sh.601601,37.3600,37.5000,38.3700,37.1000,38256971,1446912209.0000,0.608538,2.271922,-0.133154
2019-04-18,sh.601601,37.5700,38.3700,38.6400,37.1200,28136864,1067613565.0000,0.447562,2.324631,2.319997
2019-04-19,sh.601601,38.5600,39.3900,40.0900,38.5000,36181182,1415240480.0000,0.575519,2.386427,2.658328
2019-04-22,sh.601601,39.3600,37.8300,39.3600,37.2800,32988396,1261421610.0000,0.524733,2.291915,-3.960390
2019-04-23,sh.601601,37.8400,37.4000,38.1500,37.1500,30942337,1164584789.0000,0.492187,2.265864,-1.136665
2019-04-24,sh.601601,37.6900,37.1100,37.8900,36.5000,29501380,1094637064.0000,0.469267,2.248294,-0.775404
2019-04-25,sh.601601,36.9700,36.8000,37.3700,36.5600,21217772,784067338.0000,0.337503,2.229513,-0.835358
2019-04-26,sh.601601,36.6000,36.2100,37.0600,36.0300,27134248,990399409.0000,0.431614,2.193768,-1.603261
2019-04-29,sh.601601,36.5300,36.7800,37.3400,36.1800,26448307,974456858.0000,0.420703,2.056267,1.574150
2019-04-30,sh.601601,36.9000,36.1800,36.9000,35.5600,26035438,936654941.0000,0.414135,2.022723,-1.631317
2019-05-06,sh.601601,34.8100,34.3000,34.8200,33.5100,36810507,1259992057.0000,0.585530,1.917617,-5.196244
2019-05-07,sh.601601,34.5800,34.0300,34.8800,33.4700,22438206,767501630.0000,0.356915,1.902522,-0.787173
2019-05-08,sh.601601,33.4500,33.2300,33.7000,33.0200,26154991,871932999.0000,0.416037,1.857797,-2.350865
2019-05-09,sh.601601,32.8900,32.1100,33.2000,32.0400,27780733,899813925.0000,0.441897,1.795181,-3.370445
2019-05-10,sh.601601,32.5100,33.7500,34.1200,32.3200,29875746,992704890.0000,0.475221,1.886868,5.107441
2019-05-13,sh.601601,33.1700,32.7600,33.4200,32.5400,14355821,473084819.0000,0.228352,1.831520,-2.933338
2019-05-14,sh.601601,32.5300,32.7000,33.2500,32.3200,17544762,576520654.0000,0.279077,1.828166,-0.183143
2019-05-15,sh.601601,33.0600,33.5500,33.9000,32.8800,21523392,720705365.0000,0.342364,1.875687,2.599384
2019-05-16,sh.601601,33.3100,33.3000,33.7000,33.1000,15750637,525142768.0000,0.250539,1.861710,-0.745156
